Event, ele_E, ele_Px, ele_Py, ele_Pz,  pos_E, pos_Px, pos_Py, pos_Pz
0, 91962.7, -21259.4, -22433.4, 86613.6, 36525.5, 8271.76, 34099.4, 10145.3
1, 267211, 12886.5, 60500, 259953, 122373, 865.726, -30624.4, 118476
2, 79851.3, 6823.22, 49401.9, 62362.9, 38865.8, 3582.75, -35408.9, 15618.2
3, 77850.1, -23164.9, 16155.6, 72546.7, 30229.5, 26264.7, 1334.05, -14906.6
4, 28483.8, 27169.7, -4026.82, -7544.32, 143216, -26110.4, 6296.78, -140675
5, 158901, 1185.78, 42107.2, -153216, 49365.2, 13627.2, -31425.1, -35548.3
6, 114518, -34655.5, 24573, 106346, 32437.8, 30006.7, -4996.94, 11262.4
7, 56879.4, -36950.9, -14774.1, -40640.1, 146722, 39238.5, 11906.2, -140876
8, 44749.6, -24780.5, -33037.1, 17233.6, 55434.2, 20819.6, 48543.4, 16823.6
9, 150649, 36105.4, 13138.9, 145667, 126026, -50058, 1126.9, 115652
10, 117935, 28130.6, 30239.5, -110467, 248934, -31308.3, -32573.8, -244800
11, 51073.5, -32875.7, 16562.1, -35403.1, 85335.6, 45794.1, -21384.5, -68758.7
12, 43322.1, 33197.2, -27533.8, 4078.76, 62368.4, -22735.2, 42986.7, 39052.1
13, 69938.6, 38519.2, 24631.4, 52924.2, 38307.2, -28105.9, -25505.7, 5191.87
14, 150358, 11394.4, -35908.8, -145561, 172345, -25011, 37771.9, -166285
15, 34810.6, -25057.4, 7863.34, 22849, 169398, 65788.4, 91006.9, 126827
16, 82534, -9267.69, 26003.3, 77780.4, 30824.5, 3229.39, -29676.3, -7683.46
17, 63852.4, -41369.2, 12753.1, 46937, 78626, 43086, -19424, 62835.9
18, 55698, -51401.5, 4570.04, -20958.6, 37527.7, 36830.1, -6550.9, -2992.31
19, 132059, -33076.9, -4594.63, -127767, 56937.7, 42882.4, -5046.76, -37115.1
20, 58873.5, -318.124, 49566.5, -31767, 74501.2, -35496.5, -29765.4, -58347.6
21, 41076.8, 29832.5, -6714.14, -27427, 47522.1, -34134.7, 9193.62, 31759.3
22, 145023, -43390, 10584.4, -137974, 160068, 47636.3, -9736.92, -152505
23, 50682.3, -32292.1, -35347.7, 16627.1, 36483, 31398.2, 245.801, 18576.8
24, 40023.8, -32756, -12412, 19362.1, 53860.3, 49253.7, -6018.36, -20947.1
25, 67837.9, -14938.1, -29113.4, 59424.3, 77926.5, 39151.2, 33025.3, 58728.7
26, 66056.9, -31583.8, -28396.7, -50592.6, 77743.2, 33114.9, 27996.1, -64526.2
27, 93846.6, 49167.3, 39931.6, 69247.6, 68828.3, -12039.7, -33531.3, 58890
28, 62323.8, 5175.23, -45079.2, 42724, 38133, -16344.2, 32827.8, -10456.3
29, 41750.8, 11014.4, 23856, -32445.4, 50659.4, 9848.35, -28433.1, 40754.7
30, 164010, -61232.7, 16322.9, -151273, 54141.9, 33096.3, 6039.33, -42420.6
31, 400842, -92791, -35284.3, -388354, 623505, 99720.8, 27670.6, -614857
32, 54645.4, 49534.9, 19732.6, -11959.9, 38581.9, -22762, -20019.5, 23867.9
33, 137058, 16728.8, 43281.3, -128964, 49091.7, -11065.4, -32579.6, -35015.9
34, 47518.2, -3972.72, 28666.5, 37688.5, 47583.9, -15444.1, -29507.3, -33985.7
35, 50323.1, 4990.97, 37490.9, -33195.4, 80346.5, -5186.18, -38663.8, -70240.8
36, 79152.2, 6513.08, -39283, -68406.8, 31994.7, 11330.1, 28229.2, -9919.72
